id,group,status,platformDownloads,likes,createdAt,lastModified,observedAt,url
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1,Stage 1,available,19,0,2026-09-20T11:21:24Z,2026-09-20T12:05:06Z,2026-09-22T11:44:00Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step100000,Stage 1,available,15,0,2026-09-20T12:27:18Z,2026-09-20T12:38:12Z,2026-09-22T11:44:01Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step100000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1000000,Stage 1,available,35,0,2026-09-20T14:20:46Z,2026-09-20T15:56:02Z,2026-09-22T11:44:00Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1000000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1100000,Stage 1,available,35,0,2026-09-20T14:31:35Z,2026-09-20T15:55:04Z,2026-09-22T11:44:01Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1100000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1200000,Stage 1,available,35,0,2026-09-20T14:42:29Z,2026-09-20T15:56:15Z,2026-09-22T11:44:01Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1200000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1300000,Stage 1,available,35,0,2026-09-20T14:53:22Z,2026-09-20T15:55:19Z,2026-09-22T11:44:02Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1300000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step200000,Stage 1,available,15,0,2026-09-20T12:38:09Z,2026-09-20T12:51:49Z,2026-09-22T11:44:03Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step200000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step300000,Stage 1,available,15,0,2026-09-20T12:49:02Z,2026-09-20T15:53:49Z,2026-09-22T11:44:02Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step300000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step400000,Stage 1,available,15,0,2026-09-20T13:00:18Z,2026-09-20T15:54:14Z,2026-09-22T11:44:05Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step400000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step500000,Stage 1,available,35,0,2026-09-20T13:17:37Z,2026-09-20T15:56:27Z,2026-09-22T11:44:03Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step500000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step600000,Stage 1,available,35,0,2026-09-20T13:37:15Z,2026-09-20T15:55:36Z,2026-09-22T11:44:04Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step600000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step700000,Stage 1,available,35,0,2026-09-20T13:48:07Z,2026-09-20T15:54:28Z,2026-09-22T11:44:04Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step700000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step800000,Stage 1,available,35,0,2026-09-20T13:59:00Z,2026-09-20T15:55:49Z,2026-09-22T11:44:05Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step800000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step900000,Stage 1,available,35,0,2026-09-20T14:09:50Z,2026-09-20T15:54:45Z,2026-09-22T11:44:05Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage1_Step900000
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage2_DFlash2_NCPFlash,DFlash,available,15,0,2026-09-20T12:25:07Z,2026-09-20T12:34:32Z,2026-09-22T11:44:06Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage2_DFlash2_NCPFlash
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage2_v1,Stage 2,available,15,0,2026-09-20T11:45:48Z,2026-09-20T12:05:45Z,2026-09-22T11:44:06Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage2_v1
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage2_v2,Stage 2,available,15,0,2026-09-20T11:57:18Z,2026-09-20T12:08:36Z,2026-09-22T11:44:07Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage2_v2
Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage2_v3,Stage 2,available,15,0,2026-09-20T12:08:23Z,2026-09-20T12:35:22Z,2026-09-22T11:44:07Z,https://www.modelscope.cn/models/Shanghai_AI_Laboratory/NCP_ArchPreview_dolma3_8.9B_Stage2_v3
